OrderID,CustomerID,EmployeeID,OrderDate,ShipperID,CustomerName,Country,FirstName,LastName,ShipperName
10248,90,5,1996-07-04,3,Wilman Kala ,Finland ,Steven,Buchanan,Federal Shipping
10249,81,6,1996-07-05,1,Tradição Hipermercados ,Brazil ,Michael,Suyama,Speedy Express
10250,34,4,1996-07-08,2,Hanari Carnes ,Brazil ,Margaret,Peacock,United Package
10251,84,3,1996-07-08,1,Victuailles en stock ,France ,Janet,Leverling,Speedy Express
10252,76,4,1996-07-09,2,Suprêmes délices ,Belgium ,Margaret,Peacock,United Package
10253,34,3,1996-07-10,2,Hanari Carnes ,Brazil ,Janet,Leverling,United Package
10254,14,5,1996-07-11,2,Chop-suey Chinese ,Switzerland ,Steven,Buchanan,United Package
10255,68,9,1996-07-12,3,Richter Supermarkt ,Switzerland ,Anne,Dodsworth,Federal Shipping
10256,88,3,1996-07-15,2,Wellington Importadora ,Brazil ,Janet,Leverling,United Package
10257,35,4,1996-07-16,3,HILARIÓN-Abastos ,Venezuela ,Margaret,Peacock,Federal Shipping
10258,20,1,1996-07-17,1,Ernst Handel ,Austria ,Nancy,Davolio,Speedy Express
10259,13,4,1996-07-18,3,Centro comercial Moctezuma ,Mexico ,Margaret,Peacock,Federal Shipping
10260,55,4,1996-07-19,1,Old World Delicatessen ,USA ,Margaret,Peacock,Speedy Express
10261,61,4,1996-07-19,2,Que Delícia ,Brazil ,Margaret,Peacock,United Package
10262,65,8,1996-07-22,3,Rattlesnake Canyon Grocery ,USA ,Laura,Callahan,Federal Shipping
10263,20,9,1996-07-23,3,Ernst Handel ,Austria ,Anne,Dodsworth,Federal Shipping
10264,24,6,1996-07-24,3,Folk och fä HB ,Sweden ,Michael,Suyama,Federal Shipping
10265,7,2,1996-07-25,1,Blondel père et fils ,France ,Andrew,Fuller,Speedy Express
10266,87,3,1996-07-26,3,Wartian Herkku ,Finland ,Janet,Leverling,Federal Shipping
10267,25,4,1996-07-29,1,Frankenversand ,Germany ,Margaret,Peacock,Speedy Express
10268,33,8,1996-07-30,3,GROSELLA-Restaurante ,Venezuela ,Laura,Callahan,Federal Shipping
10269,89,5,1996-07-31,1,White Clover Markets ,USA ,Steven,Buchanan,Speedy Express
10270,87,1,1996-08-01,1,Wartian Herkku ,Finland ,Nancy,Davolio,Speedy Express
10271,75,6,1996-08-01,2,Split Rail Beer & Ale ,USA ,Michael,Suyama,United Package
10272,65,6,1996-08-02,2,Rattlesnake Canyon Grocery ,USA ,Michael,Suyama,United Package
10273,63,3,1996-08-05,3,QUICK-Stop ,Germany ,Janet,Leverling,Federal Shipping
10274,85,6,1996-08-06,1,Vins et alcools Chevalier ,France ,Michael,Suyama,Speedy Express
10275,49,1,1996-08-07,1,Magazzini Alimentari Riuniti ,Italy ,Nancy,Davolio,Speedy Express
10276,80,8,1996-08-08,3,Tortuga Restaurante ,Mexico ,Laura,Callahan,Federal Shipping
10277,52,2,1996-08-09,3,Morgenstern Gesundkost ,Germany ,Andrew,Fuller,Federal Shipping
10278,5,8,1996-08-12,2,Berglunds snabbköp ,Sweden ,Laura,Callahan,United Package
10279,44,8,1996-08-13,2,Lehmanns Marktstand ,Germany ,Laura,Callahan,United Package
10280,5,2,1996-08-14,1,Berglunds snabbköp ,Sweden ,Andrew,Fuller,Speedy Express
10281,69,4,1996-08-14,1,Romero y tomillo ,Spain ,Margaret,Peacock,Speedy Express
10282,69,4,1996-08-15,1,Romero y tomillo ,Spain ,Margaret,Peacock,Speedy Express
10283,46,3,1996-08-16,3,LILA-Supermercado ,Venezuela ,Janet,Leverling,Federal Shipping
10284,44,4,1996-08-19,1,Lehmanns Marktstand ,Germany ,Margaret,Peacock,Speedy Express
10285,63,1,1996-08-20,2,QUICK-Stop ,Germany ,Nancy,Davolio,United Package
10286,63,8,1996-08-21,3,QUICK-Stop ,Germany ,Laura,Callahan,Federal Shipping
10287,67,8,1996-08-22,3,Ricardo Adocicados ,Brazil ,Laura,Callahan,Federal Shipping
10288,66,4,1996-08-23,1,Reggiani Caseifici ,Italy ,Margaret,Peacock,Speedy Express
10289,11,7,1996-08-26,3,B's Beverages ,UK ,Robert,King,Federal Shipping
10290,15,8,1996-08-27,1,Comércio Mineiro ,Brazil ,Laura,Callahan,Speedy Express
10291,61,6,1996-08-27,2,Que Delícia ,Brazil ,Michael,Suyama,United Package
10292,81,1,1996-08-28,2,Tradição Hipermercados ,Brazil ,Nancy,Davolio,United Package
10293,80,1,1996-08-29,3,Tortuga Restaurante ,Mexico ,Nancy,Davolio,Federal Shipping
10294,65,4,1996-08-30,2,Rattlesnake Canyon Grocery ,USA ,Margaret,Peacock,United Package
10295,85,2,1996-09-02,2,Vins et alcools Chevalier ,France ,Andrew,Fuller,United Package
10296,46,6,1996-09-03,1,LILA-Supermercado ,Venezuela ,Michael,Suyama,Speedy Express
10297,7,5,1996-09-04,2,Blondel père et fils ,France ,Steven,Buchanan,United Package
10298,37,6,1996-09-05,2,Hungry Owl All-Night Grocers ,Ireland ,Michael,Suyama,United Package
10299,67,4,1996-09-06,2,Ricardo Adocicados ,Brazil ,Margaret,Peacock,United Package
10300,49,2,1996-09-09,2,Magazzini Alimentari Riuniti ,Italy ,Andrew,Fuller,United Package
10301,86,8,1996-09-09,2,Die Wandernde Kuh ,Germany ,Laura,Callahan,United Package
10302,76,4,1996-09-10,2,Suprêmes délices ,Belgium ,Margaret,Peacock,United Package
10303,30,7,1996-09-11,2,Godos Cocina Típica ,Spain ,Robert,King,United Package
10304,80,1,1996-09-12,2,Tortuga Restaurante ,Mexico ,Nancy,Davolio,United Package
10305,55,8,1996-09-13,3,Old World Delicatessen ,USA ,Laura,Callahan,Federal Shipping
10306,69,1,1996-09-16,3,Romero y tomillo ,Spain ,Nancy,Davolio,Federal Shipping
10307,48,2,1996-09-17,2,Lonesome Pine Restaurant ,USA ,Andrew,Fuller,United Package
10308,2,7,1996-09-18,3,Ana Trujillo Emparedados y helados ,Mexico ,Robert,King,Federal Shipping
10309,37,3,1996-09-19,1,Hungry Owl All-Night Grocers ,Ireland ,Janet,Leverling,Speedy Express
10310,77,8,1996-09-20,2,The Big Cheese ,USA ,Laura,Callahan,United Package
10311,18,1,1996-09-20,3,Du monde entier ,France ,Nancy,Davolio,Federal Shipping
10312,86,2,1996-09-23,2,Die Wandernde Kuh ,Germany ,Andrew,Fuller,United Package
10313,63,2,1996-09-24,2,QUICK-Stop ,Germany ,Andrew,Fuller,United Package
10314,65,1,1996-09-25,2,Rattlesnake Canyon Grocery ,USA ,Nancy,Davolio,United Package
10315,38,4,1996-09-26,2,Island Trading ,UK ,Margaret,Peacock,United Package
10316,65,1,1996-09-27,3,Rattlesnake Canyon Grocery ,USA ,Nancy,Davolio,Federal Shipping
10317,48,6,1996-09-30,1,Lonesome Pine Restaurant ,USA ,Michael,Suyama,Speedy Express
10318,38,8,1996-10-01,2,Island Trading ,UK ,Laura,Callahan,United Package
10319,80,7,1996-10-02,3,Tortuga Restaurante ,Mexico ,Robert,King,Federal Shipping
10320,87,5,1996-10-03,3,Wartian Herkku ,Finland ,Steven,Buchanan,Federal Shipping
10321,38,3,1996-10-03,2,Island Trading ,UK ,Janet,Leverling,United Package
10322,58,7,1996-10-04,3,Pericles Comidas clásicas ,Mexico ,Robert,King,Federal Shipping
10323,39,4,1996-10-07,1,Königlich Essen ,Germany ,Margaret,Peacock,Speedy Express
10324,71,9,1996-10-08,1,Save-a-lot Markets ,USA ,Anne,Dodsworth,Speedy Express
10325,39,1,1996-10-09,3,Königlich Essen ,Germany ,Nancy,Davolio,Federal Shipping
10326,8,4,1996-10-10,2,Bólido Comidas preparadas ,Spain ,Margaret,Peacock,United Package
10327,24,2,1996-10-11,1,Folk och fä HB ,Sweden ,Andrew,Fuller,Speedy Express
10328,28,4,1996-10-14,3,Furia Bacalhau e Frutos do Mar ,Portugal ,Margaret,Peacock,Federal Shipping
10329,75,4,1996-10-15,2,Split Rail Beer & Ale ,USA ,Margaret,Peacock,United Package
10330,46,3,1996-10-16,1,LILA-Supermercado ,Venezuela ,Janet,Leverling,Speedy Express
10331,9,9,1996-10-16,1,Bon app' ,France ,Anne,Dodsworth,Speedy Express
10332,51,3,1996-10-17,2,Mère Paillarde ,Canada ,Janet,Leverling,United Package
10333,87,5,1996-10-18,3,Wartian Herkku ,Finland ,Steven,Buchanan,Federal Shipping
10334,84,8,1996-10-21,2,Victuailles en stock ,France ,Laura,Callahan,United Package
10335,37,7,1996-10-22,2,Hungry Owl All-Night Grocers ,Ireland ,Robert,King,United Package
10336,60,7,1996-10-23,2,Princesa Isabel Vinhoss ,Portugal ,Robert,King,United Package
10337,25,4,1996-10-24,3,Frankenversand ,Germany ,Margaret,Peacock,Federal Shipping
10338,55,4,1996-10-25,3,Old World Delicatessen ,USA ,Margaret,Peacock,Federal Shipping
10339,51,2,1996-10-28,2,Mère Paillarde ,Canada ,Andrew,Fuller,United Package
10340,9,1,1996-10-29,3,Bon app' ,France ,Nancy,Davolio,Federal Shipping
10341,73,7,1996-10-29,3,Simons bistro ,Denmark ,Robert,King,Federal Shipping
10342,25,4,1996-10-30,2,Frankenversand ,Germany ,Margaret,Peacock,United Package
10343,44,4,1996-10-31,1,Lehmanns Marktstand ,Germany ,Margaret,Peacock,Speedy Express
10344,89,4,1996-11-01,2,White Clover Markets ,USA ,Margaret,Peacock,United Package
10345,63,2,1996-11-04,2,QUICK-Stop ,Germany ,Andrew,Fuller,United Package
10346,65,3,1996-11-05,3,Rattlesnake Canyon Grocery ,USA ,Janet,Leverling,Federal Shipping
10347,21,4,1996-11-06,3,Familia Arquibaldo ,Brazil ,Margaret,Peacock,Federal Shipping
10348,86,4,1996-11-07,2,Die Wandernde Kuh ,Germany ,Margaret,Peacock,United Package
10349,75,7,1996-11-08,1,Split Rail Beer & Ale ,USA ,Robert,King,Speedy Express
10350,41,6,1996-11-11,2,La maison d'Asie ,France ,Michael,Suyama,United Package
10351,20,1,1996-11-11,1,Ernst Handel ,Austria ,Nancy,Davolio,Speedy Express
10352,28,3,1996-11-12,3,Furia Bacalhau e Frutos do Mar ,Portugal ,Janet,Leverling,Federal Shipping
10353,59,7,1996-11-13,3,Piccolo und mehr ,Austria ,Robert,King,Federal Shipping
10354,58,8,1996-11-14,3,Pericles Comidas clásicas ,Mexico ,Laura,Callahan,Federal Shipping
10355,4,6,1996-11-15,1,Around the Horn ,UK ,Michael,Suyama,Speedy Express
10356,86,6,1996-11-18,2,Die Wandernde Kuh ,Germany ,Michael,Suyama,United Package
10357,46,1,1996-11-19,3,LILA-Supermercado ,Venezuela ,Nancy,Davolio,Federal Shipping
10358,41,5,1996-11-20,1,La maison d'Asie ,France ,Steven,Buchanan,Speedy Express
10359,72,5,1996-11-21,3,Seven Seas Imports ,UK ,Steven,Buchanan,Federal Shipping
10360,7,4,1996-11-22,3,Blondel père et fils ,France ,Margaret,Peacock,Federal Shipping
10361,63,1,1996-11-22,2,QUICK-Stop ,Germany ,Nancy,Davolio,United Package
10362,9,3,1996-11-25,1,Bon app' ,France ,Janet,Leverling,Speedy Express
10363,17,4,1996-11-26,3,Drachenblut Delikatessend ,Germany ,Margaret,Peacock,Federal Shipping
10364,19,1,1996-11-26,1,Eastern Connection ,UK ,Nancy,Davolio,Speedy Express
10365,3,3,1996-11-27,2,Antonio Moreno Taquería ,Mexico ,Janet,Leverling,United Package
10366,29,8,1996-11-28,2,Galería del gastrónomo ,Spain ,Laura,Callahan,United Package
10367,83,7,1996-11-28,3,Vaffeljernet ,Denmark ,Robert,King,Federal Shipping
10368,20,2,1996-11-29,2,Ernst Handel ,Austria ,Andrew,Fuller,United Package
10369,75,8,1996-12-02,2,Split Rail Beer & Ale ,USA ,Laura,Callahan,United Package
10370,14,6,1996-12-03,2,Chop-suey Chinese ,Switzerland ,Michael,Suyama,United Package
10371,41,1,1996-12-03,1,La maison d'Asie ,France ,Nancy,Davolio,Speedy Express
10372,62,5,1996-12-04,2,Queen Cozinha ,Brazil ,Steven,Buchanan,United Package
10373,37,4,1996-12-05,3,Hungry Owl All-Night Grocers ,Ireland ,Margaret,Peacock,Federal Shipping
10374,91,1,1996-12-05,3,Wolski ,Poland ,Nancy,Davolio,Federal Shipping
10375,36,3,1996-12-06,2,Hungry Coyote Import Store ,USA ,Janet,Leverling,United Package
10376,51,1,1996-12-09,2,Mère Paillarde ,Canada ,Nancy,Davolio,United Package
10377,72,1,1996-12-09,3,Seven Seas Imports ,UK ,Nancy,Davolio,Federal Shipping
10378,24,5,1996-12-10,3,Folk och fä HB ,Sweden ,Steven,Buchanan,Federal Shipping
10379,61,2,1996-12-11,1,Que Delícia ,Brazil ,Andrew,Fuller,Speedy Express
10380,37,8,1996-12-12,3,Hungry Owl All-Night Grocers ,Ireland ,Laura,Callahan,Federal Shipping
10381,46,3,1996-12-12,3,LILA-Supermercado ,Venezuela ,Janet,Leverling,Federal Shipping
10382,20,4,1996-12-13,1,Ernst Handel ,Austria ,Margaret,Peacock,Speedy Express
10383,4,8,1996-12-16,3,Around the Horn ,UK ,Laura,Callahan,Federal Shipping
10384,5,3,1996-12-16,3,Berglunds snabbköp ,Sweden ,Janet,Leverling,Federal Shipping
10385,75,1,1996-12-17,2,Split Rail Beer & Ale ,USA ,Nancy,Davolio,United Package
10386,21,9,1996-12-18,3,Familia Arquibaldo ,Brazil ,Anne,Dodsworth,Federal Shipping
10387,70,1,1996-12-18,2,Santé Gourmet ,Norway ,Nancy,Davolio,United Package
10388,72,2,1996-12-19,1,Seven Seas Imports ,UK ,Andrew,Fuller,Speedy Express
10389,10,4,1996-12-20,2,Bottom-Dollar Marketse ,Canada ,Margaret,Peacock,United Package
10390,20,6,1996-12-23,1,Ernst Handel ,Austria ,Michael,Suyama,Speedy Express
10391,17,3,1996-12-23,3,Drachenblut Delikatessend ,Germany ,Janet,Leverling,Federal Shipping
10392,59,2,1996-12-24,3,Piccolo und mehr ,Austria ,Andrew,Fuller,Federal Shipping
